Survey_ID,Primary_Topic_p,Secondary_Topic_p,p_change,Primary_Topic_r,Secondary_Topic_r,r_effect,,,,,,,,,,,
5421,Not changed,,Really my views hasnt changed but the things i here that is trying to be aproved is not ok,People affiliate with their own race,,"Everyone mostly sticks to there own race, ",,,,,,,,,,,
5534,Experience in prison,,After seeing how ks treats crimes their own officals committ .ther e is always a cover up they investigate state how we fired them all when the heat is on but once dies down sameones come back after officals leave some even come back permoted to make up for their time off. They just did that here in lansing ks and edcf and hcf.,,,I am not a gang member or racist in fact i really am siting here with the state holding me illegally restrained against my liberty .re the paperwork i sent you and reveiw case numbers listed in this above even my judge got dissbarred for excepting crimes. And if you check with federal commissions and cheif judge robinson you will see coruption on federal and state levels on those cases. Ks commissons now has ks state judge up for pannel reveiw for this also she out of reno co. Ks.,,,,,,,,,,,
3781,Views on politicians,,"Most defenetely. Everything in these places is about politics. But as i get older i can't help but think of my childrens future like i do since we've had this current pretender in office. My children are currently scared because their father has been absent from their preciuos life for 16 years, and will God willing be getting out on 8/26/2020, to face deportation to a country by the name of Honduras, can you imagine whats going on through their young minds right now as they watch the news which are being bombarded by news from that side of the world. This current president has caused nothing but uncertainty in the minds of hispanics and in the minds of our children. Never in my life did i think that my children would be watching the news more than i do, and all because right now my future along with thousands of other hispanics futures are in limbo. So yes, my political views have changed tremendously.",Assumed to have political views because of race,,"We in these places already have to deal with the fact that being """"classified"""" as we step onto these places is something that stablishes us as a certain """"OTHER"""", so as a minority i'm already viewed as a democrat whether i am or not. And to be honest i already am living in a world in which am being told what i want to hear on the daily basis, which is pretty much what every politician is doing as i witness whats going on this televised debates.",,,,,,,,,,,
4768,Views on politicians,,"I realize that no matter who we vote for, they all seem to fail us in some way as we are not as important to them as they tend to make us seem.",Injustice towards Black people ,,It has been proven over and over that black people are the least respected by ever race. Blacks are treated worse then others even in the court of law.,,,,,,,,,,,
2930,Experience in prison,,[Yes] Because of the conditions in which we are made to live under this has changed my view of politics all together,Na,,[Not at all],,,,,,,,,,,
6707,Religion,,Lord,Na,,,,,,,,,,,,,
3147,Desire to make a difference,,Want to help make change,None,,No,,,,,,,,,,,
4329,Time,,I now have time to see the crap the political system is doing to the poor and uneducated,,,Im am wiccan we teach to love all manner of life,,,,,,,,,,,
3726,Need for change in system,,I believe there should be better laws for specfic charges and laws because people are getting too much time for their crime that doesnt make sense,Treatment because of race,,Because if your one particular race you tend to get messed with more then the other race,,,,,,,,,,,
5712,Expanded view,,Things and suroundings change your views,,,Everyone should vote,,,,,,,,,,,
7506,None,,[No],Race does not matter,,"[Not at all] As I have seen, anyone despite their race, who makes an effort to put in the work can become someone who can make a difference. Race is a crutch for those who want an excuse",,,,,,,,,,,
2353,Expanded view,,Cuz alot.of people give me ideas,Race does not matter,,Not at all,,,,,,,,,,,
4278,View on politics,,Yes alot,Experience because of own race,,Im black and my skin color has everything to do with it,,,,,,,,,,,
4846,Need for change in system,,I definately have lost all respect for the system in regards to reform an rehabilitation. So much money is set aside for programs an education so people don't have to continue on in this vicious cycle.,Na,,,,,,,,,,,,,
7338,Views on political parties,,"I use to be a democrate, and they have proven to be crazy.",Informs political party affiliation ,,Im mexican and im all about whats right. So i support republicans.,,,,,,,,,,,
6872,Experience in prison,,Because prison politics are american politics in a nutshell.,Racial differences in prison ,,I am not housed in a racially political prison where groups are divided by race but more by crime,,,,,,,,,,,
5381,Education,,I know more about politics.,Na,,Very little info,,,,,,,,,,,
763,More interested,Education ,"I am more interested in politics now, and more informed of different parties views.",Informs political party affiliation ,,White people in prison are more likely to support certain candidates based on race instead of political ideas.,,,,,,,,,,,
6014,N/A,,No i cant explain,Na,,I cant,,,,,,,,,,,
5287,Education,,I have gathered/learned more info. concerning surrounding issues.With more info.you can reach a better understanding.,Is not biased,,I m not biased due to color or backgrounds,,,,,,,,,,,
2378,Need for change in system,,Yes i think that laws should be differnt or pertain more to where you come from and not so much as a general thing.,,,Well im from a small mtn. Community North Fork where usually everyone gets up goes to work minds thier own busisness because our community is as a whole so we work together no matter what is going on around outside community so our crime rate is really low no racial b.s. and the community puts aside our personal differances for the good of the community it does not seem to work that way in prison or even jail we are if you will niaeve to most goings on because they dont really concern us accept the gun laws because we are raised to live off the land and if we get in trouble with a gun it is almost never from hurting another human being or anything of that nature it is more often then not being a felon in possession of firearm or ammo and well in other communities i feel the laws might be ok because in citys they dont survice with weapons in the mountains that is how we feed our children .,,,,,,,,,,,
1985,N/A,,I dont know.,Not sure,,Im not surw.,,,,,,,,,,,
175,Expanded view,,"Before been incarcerated, I only saw to my own problem's, meaning that I wanted the issues that affected me to be of higher priority. Now I see that as a community we need to work on compromises to achieve our goals while helping those around us. This has change how I fuondamentaly see the issues that our nation faces today. Before I used to supporter a particular political party just because they support one issues that I feel strongly about without caring about the rest of their political views. However, now I tend to look deeper into what each candidate supports and not just vote for one party regardless of there views.",Culture impacts political views,,"I see issues from my cultural view of what is right and wrong. This belief where instilled in me when I was young and a lot of then were base on racial identification, the people I mostly tended to associated with.",,,,,,,,,,,
2273,Political opinion,,aALL THE MORE REASON FOR GUN CONTROL!!!,Experience because of race,,First of all im not in prison im in county jail. So needless to say information of any kind isn't bothered to be given to us... i live in a predominantly mexican community who unfortunately could give a rats ass about most of the news in our community other than immigration issues which i get but we have a much broader spectrum of issues that affect everybody and we need to stay involved. Whether you are here legally or seeking some sort of political assylum you matter... i am 1st or 4th generation born here in the united states depending on which side you go by. I stay informed because i love my country and our safety and political issues are important to me. They always have been and always will be. I find out news because i go seeking it. I love the democratic nation we have for the most part been. I also believe getting trump out of office is the safest thing we have done since he went into office. It just should have been done a long time ago. Matter of fact the son of a bitch never should have made it i,,,,,,,,,,,
8147,N/A,,I just want to get some points to finish my movie.,White people better off,,If i was white loke my celly i wouldve been out alpng time ago,,,,,,,,,,,
4495,Religion,,"I now know that those in power only seek to divide us. Yet they claim to desire to unite us. What ever happened to """"one nation,under GOD""""?",Only one race ,,There is only one race. The human race/mankind.,,,,,,,,,,,
6421,Greater understanding,,Befor becomming incarcerated i had no idea about the importance of politics. I believed that there was a sence of justice. I was wrong there is what is true and what the AG wants to be true. The AG is a political position and each AG needs to be needed. If we look at the rate of incarceration and the rate of crime they are totaly out of order,Race does not impact opinion ,,I am a white person who practices native american religion. I am a yoga instructor. I am on the board of MSP NAACP. My race has no hold over my political views,,,,,,,,,,,
5887,Need for change in system,,Society has neglected me and i am injustly incarcerated.i could not afford proper representation.,All treated the same in prison ,,We are all looked at as niggers in here no matter what color we are.,,,,,,,,,,,
3069,Pays more attention,,"I really never paid much attention to politics and I am ex military so pretty much I always thought that the democrats were always antimilitary and only the republicans ever did anything good for our troops. Now that I actually pay attention to politics I see both sides have good views and bad views, well they use to until lately when the democrats started to try and change the US into a socialist government.",Race does not impact opinion ,,"I'm am Mexican American and it seems like everyone expects you to automaticlly side with democrats. I am not a sheep who just follows I can think for myself, and I actually am neither democrat or republican, but I am a capatilist, and believe in helping America first. I don't see race when it comes to politics, I look at the issues. I'm not going to vote just because the person running is a minority, they have to actually have good ideas that I feel will benifit me and my family and other people in this country that are trying to live the American dream.",,,,,,,,,,,
6893,Greater understanding,,I have grown emotionally to understand the worlds problems.,Experience because of race,,Native Americans do not have money for proper counsel.,,,,,,,,,,,
3777,Pays more attention,,Theyve changed because I can now see or now I pay attention to what is going on around me and how politics are now affecting prisons,Racial differences in prison ,,Thats because I am mixed but I can still see first hand how a black officer and thats not all of them treat other black inmates different than they treat whites. Its generally the african co's that have a dialect in there speach.,,,,,,,,,,,
2132,Importance of political voice,,"I feel that if everyone had the right to an oppinion (vote), the prison/county jails would not be as full and more people from the prison/jail system would want to vote.",An issue besides race,,"I believe that anyone should have the right to vote, no matter what or who they are.",,,,,,,,,,,
238,Expanded view,,I've gotten into some intense political conversation which has expanded my views.,Tries not to let race impact opinion ,,"I live in the south now where everything is racially motivated, I do not want to be thusmso I try to be opposite and try to give a sound opinion on things. I'm not sure if I live up to that though.",,,,,,,,,,,
2298,More aware,,I have been made more aware of how much we struggle socially,Racial differences in prison ,,"Politics being incarcerated is all about your race and that defines who you hang out with and """"how to act"""" i think its very unethical and is really unorthodox",,,,,,,,,,,
3260,None,,No,None,,No,,,,,,,,,,,
5436,Cares more,,"  I never really cared about politics while I was a free man, but being in prison has opened my eyes to the reallities of the world.
  The world does not really care about those they put in prison, if the courts say we are guilty, then the courts must be right, then we are viewed and treated as such.
  So, when we try to do things the right way, the world treats us like we are scum of the earth.
  Politics, is just another word for greed. The government do not care about U.S.A. they only care about the money going to their pockets and looking like they are changing the world.
  They talk about being a strong country, yet the reallity of that is fake. We have more enemies then friends, and we waste military resources on petty wars that have nothing to do with us, still, I would fight for my family, if ever given the chance.
  There are so many prisoners who wolud love to get back to their families, and if fighting in the army does that, why not send us there instead, like they us too. It's not like they give a",Treatment because of race,,"I live in Kansas, and was some how found guilty in a case were there was no supporting evidence, the alleged victim committed prejury on the stand, evidence showing that I could not have committed the crime was not allowed to be seen due to my lawyer not doing her job right ( The court admits, it is a sliver of evidence to prove I am innocent, still did not feel it would chage anything. That is for a jury to decide not the court). A white man convicted of the some crime was given 7 yrs. While I was given 54 yrs. Being hispanic has always and always will be treated differently in a rasist state like Kansas.
    Even the federal court closed my case, knowing that my attorney caused my federal time to expire, by not filing a docketing statment with 21 days of the time given, but instead filed over a year later.
  How is it, the we must follow the rules and laws written, but the courts can ignore them. 
    I thought, NO ONE WAS ABOVE THE LAW.
  Hispanic are always made to look like the bad people, even more so w",,,,,,,,,,,
5467,Experience in prison,,Yes.therr things people never see until you come to prison.there are definately some things need tweeking.,Affiliates with personal racial group,,"Iam a black/mexican american who chooses to fight for the mexican people.i fight for the people,we the people.everybody needs to just get along and do what needs to be done to make this a more perfect union.",,,,,,,,,,,
4595,Education,,"Was a teen when locked up, educating myself as to political stances has led me to be an economist as it tends to support most of my Catholic beliefs.
",Race should not matter,,"I empathize with some of the impact topics have relating race, but when we focus on race as the core issue we never solve the real problem brought up in the first place.
",,,,,,,,,,,
309,Personal change,,I was a youth when incarcerated and really had no political point of view though I am a,Na,,,,,,,,,,,,,
7496,Personal change,,"[Yes] Cuando era joven pensaba diferente, que atora que soy un adulto",Na,,[Not at all],,,,,,,,,,,
2290,Need for change in system,,There should be more programs for inmates that are released with no probation no parole. To make it as a productive member in sociaty.,Treatment because of race,,Hispanic's are always being sterotyped wrongly.,,,,,,,,,,,
7686,Need for change in system,,They r not helping the crimal people r non violent people,Treatment because of race,,They locked up to many hispanics for non violent crimes,,,,,,,,,,,
7934,Believes political vote matters more,,Yes. I really believe every vote counts and we as a free country should really be voicing our oppinions on a ballot.,Racial differences in prison ,,Well being that im in prison for 90months on my first drug charge ever and im hispanic . I think i shoukd be in long term treatment not longterm prison. As fir border laws so many kids are getting hurt.,,,,,,,,,,,
7209,Cares more,,"I never use to care, i figured things are the way they are and i have no say in the matter. I've learned that this statement is false, I live in a country were The People rule and that Voting is a very powerful tool that can be used to change some wrong things that have been going on. The majority of the incarcerated population are minorities. (people of color)... Who knows what would happen, if a whole lot of poor, uneducated incarcerated people started to have hope for a better future and started voting.",Treatment because of race,,"I'm Chicano, I've spent over 8yrs in prison for non-Violent/ non-Sexual crimes. I wonder if this would be happening if I were a White Man? (Just a thought) ",,,,,,,,,,,
6607,Greater understanding,,"I use to be oppposed to anything that opppsed our right to.bear arms but then i came to.underatand that because i was so young and had noone to teach me any better that it was a gift to have that right and to have the responsibility that goes with it. Now you have kids shooting up achools and churches and it scares me, so now i.atronglyy agree that more needa to be done on that issue.",Affiliation with group impacts political opinion ,,Im hispanic and while i agree that the border should be tightened on security i strongly oppose the way that the government is going about and breaking into peoples homes and seperating kids from theor parents or housing and treating immigrants in centers like animals sleeping on the floor or not having enough food. And dont get me started on what the children go through.,,,,,,,,,,,
4115,Expanded view,,"When I was a solider I believed in the system, since my incarceration I have come across alot of wrong",Race does not impact opinion ,,It is either right or wrong I do not look at race,,,,,,,,,,,
3742,None,,Nope_Ù÷Ä,,,"Good, I actually meant to hit somewhat. The reason I believe that is because you'll always see things from the enviroment you're in and from the enviroment you're striving to fit in with. Most of the time it directly has to do with race.",,,,,,,,,,,
764,Views on political parties,,Before prison I would've identified with being a Republican  now idk because Republican views frown on convicted felons. IG I'm democrat because I'm a homosexual but idk.,Racial differneces in prison ,,People tend to make everything about race while incarcerated. Its different here,,,,,,,,,,,
5029,Views on political parties,,I use to think i would be a democrat but i find myself agreeing with republicans instead and it seems like the republican presidents do more to actually help.,Does not affect opinion ,,They just dont,,,,,,,,,,,
2195,Importance of political voice,,"YES CAUSE WE NEED OUR VOICES TO BE HEARD, WE HAVE GENERATIONS TO SUPPORT AND PROTECT",Racial differneces in prison ,,"ITS A WHOLE NOTHER DEMOGRAPHICIC IN THE PRISONS AND JAILS, NOT FAIR",,,,,,,,,,,
3902,Need for change in system,,"It the world we live in, and it is good to see how there trying to make a diffrents.",Treatment because of race,,Mexicans have it the worst,,,,,,,,,,,
2895,Need for change in system,,"[Yes] I am in state prison for essentially ""lying on my resume"" 5yrs + 20yrs of probation on a FIRST OFFENSE OF ANY KIND! 24 yrs in the Army meant NOTHING!",Only one race ,Does not see color ,[Not at all] There is only one race: The Human Race. The only color that I see is camoflage.,,,,,,,,,,,
7963,Personal Experience,,A todos los q hacen dano,,,Hay mucha discriminasion,,,,,,,,,,,
4700,More aware,,"I have become more aware of the political world, which has allowed me to become more open minded about certain situations. ",Race impacts everything ,,I believe in America your race is considered in everything you do.,,,,,,,,,,,
4848,Views on politicians,,Too many presidents,,,They don't take the time to listen,,,,,,,,,,,
689,Need for change in system,,Well here's a slice of it once the system gives u a label its like a target on your back that's always seen and judged badly like were just not human then they take basicly all are rights and to top it all off they make these new laws that effect only convicted felons which yeah are political views do take an turn for a change.,Na,,I rather not explain its easier to say in person,,,,,,,,,,,
564,Cares more,,I use to not care about prisoners rights,Na,,,,,,,,,,,,,
7121,Views on political parties,,I like the republicans because the would rather have people paying taxes taking care of there family instead of wasting tax payers money living in prison,Na,,,,,,,,,,,,,Man
3408,More interested,,"No that thing effect me,i have more intrest in politacal views.",,,Leave us out of oyr opinios,,,,,,,,,,,
5554,Experience in prison,Education ,Yes i see the injustice prisoners go threw and i feel no one is doing nothing about it. Thats the reason why iam a big follower of Paul Wright and his team . He publishes the prison legal news newspaper which i get,Treatment because of race,,I feel like being mexican american we get treated worst especially being gang related.Even if its the same crime comitted.we go threw alot of biases,,,,,,,,,,,
5246,Education,,Not to have leaned something from this setaution would be sad.,,,Is not something that con do.,,,,,,,,,,,
8206,Need for change in system,,"My political views have changed mostly in respects to our legal system which i have experienced first hand. I am sad to say that my experience has shown me that our legal system is flawed down to its foundation, and in turn i hold little faith in the justice system and its abillity to rehabilitate and re-incorporate individuals into society. On the contrary, my experience has shown me that our government only makes it easier for individuals who have already offended to return to prison in the fashion of a revolving door. I myslfe have found that not becoming a victim of recidivism has been one of the hardest things for me after my incarceration. Granted that i did commit a crime, however, i did serve out my sentence and in turn payed my debt to society. I dont feel that it is fair for me or so many others like me to have to be at a disadvantage in terms of inequality because of our past mistakes. Maybe our country needs to look at how it deals with crime so that we can have a better understanding on how to pr",Impacts opinion of politicians,,I am of mexican decent so i naturally feel strongly about political views held by our current president and large portions of the population,,,,,,,,,,,
4165,Need for change in system,,"I see now how bad the crim justice system is, and also how many people are in here for meth related crimes
",Racial differences in prison ,,They are racist here in hutchinson,,,,,,,,,,,
6962,Importance of political voice,,"The value of my rights and moral objectives have been raised, how I affect the community and how it can me is of the greatest importance. My voice in prison does not matter to anyone but myself but it should not be that way. We all matter and we all need the oppertunity to contribute our voice.",Human being,,I am a human being qmy culture comes in second to to the value I have of other human being.,,,,,,,,,,,
3396,Views on political parties,,"Yes, use to believe in the Democrats but not now. They are very much interested in themselves verses the country",All races should be equal ,,Racial Equality,,,,,,,,,,,
2703,Education,,[Yes] I been incarcerated 18 yrs and I do my own studies and I'm in college so I have learnt a lot of things which help develop a more in depth look at life,Race does not affect opinion ,,[Not at all] If I see something to be right or wrong; me being black doesn't have nothing to do with right or wrong,,,,,,,,,,,
612,Views on politicians,Race/Ethnicity,Yes because of the ways the President does things that are no good for Hispanic people,Experience because of race,,Because am Hispanic in a white mans world,,,,,,,,,,,
1892,Education,,Science,Na,,The I used to the this,,,,,,,,,,,
5426,View on politics,,Yes,Not sure,,Not sure,,,,,,,,,,,
5447,Education,,I have been able to study further into political leada.,Race does not affect opinion ,,I dont let race factor my deccisions. Racial profiling is wrong.,,,,,,,,,,,
5243,None,,No,Does not know,,Idk,,,,,,,,,,,
562,Need for change in system,,"I no longer believe in the judicial system, especially Arkansas. I don't believe in the sentencing guidelines, nor the correctional system in Arkansas. I feel all states should be equal in their sentencing and politically no one looks into Arkansas and their outdated laws and mandates.",Race does not affect opinion ,,I am Caucasian and native american but have African american biracial children...I don't view race in any thing,,,,,,,,,,,
7554,Views on political parties,party ,[Yes] What I come to understand that it don't matter what party has control because their both to blaim when it comes to the deficit and this is the bigest problem facing this country,Race should not matter,,"[Not at all] its should not be about race, it should be as to what a person can do for the benefit of our country",,,,,,,,,,,
7027,Education,,"I've become more informed of the political climate and what is happening to this country as time goes by. Honestly, I think that only comes from age, though, not being incarcerated.",All races should be equal ,,Race is not an excuse for anything. We are all human. The color of someone's skin has no bearing on their attitude or character.,,,,,,,,,,,
5454,Less belief in system,,Goverment number one gangsters,,,As a prisoner i want to be able to,,,,,,,,,,,
1074,Education,,"I was incarcerated in 1996, five months after I turned 21 years old, and I didn't care about voting then.  I was too wrapped up in using substances to dull my emotonal pain from childhood trauma to worry about having political views or being civic-minded.  Now, though, after 23 years in prison, I realize how greatly I'm affected by the laws and the political climate.  I have spent years as a Paralegal (from a Blackstone Legal Assistant certification) researching the law and standing up for civil liberties of incarcerated men like myself.  I have a case in the 8th Circuit Court of Appeals number 19-1995 challenging Arkansas' use of unpaid prisoner labor as unconstitutional because 45 (or 48 depending on the source) other states pay their prisoners for labor.  I also have a lawsuit challenging the prison mail policy as violative of the Arkansas Constitution's equivalent of the 1st Amendment.  Before I came to prison, I wouldn't have even known about these issues or cared about another man's civil liberties, but",Affiliation with group impacts political opinions,,"My racial identity somewhat informs my political views in prison because I am the child of a Caucasian father and Mexican mother.  As such, I feel strongly about immigration issues.  Whereas I support tightening border security to curb the influx of drugs and the cartel-driven human trafficking, I do not support the Remain-in-Mexico policies or the refugee limit.  To me, they amount to a restricition on non-white immigrants only.  These factors that are race-driven strongly somewhat influence my political views, but policies such as gun control and mass incarceration go beyond race.  When one person's civil liberties are eroded, the civil liberties of every person are eroded.",,,,,,,,,,,
8020,Pays more attention,,Yes they have because out there i never really paied no attentoin to what was going kn out there but here i watch the news and see all the bs going kn.,Impacts opinion of politicians ,,I think it dose because i am mexican but this president dosent talk shit about the white ppl who commit crimes the white ppl who do mass shootings but if there black or mexican he talks about thebrace ass a whole as if its in our dna to do that stuff. . .,,,,,,,,,,,
8014,Education,,Yes because now i have a more understanding about politicals because i see it every day on the news and how the people suraunding me talk and how it impacts them,All races are equal ,,I dnt knw because now days we are all eaqual but i would guess we are now equal now days,,,,,,,,,,,
1183,Expanded view,,I used to say people in prison should be here but being here some people should have a second chance and the system doesn't forgive,Race does not impact opinion ,,I'm either Democratic or Republican no race can dictate that,,,,,,,,,,,
4759,Need for change in system,,Cuz it's hard to have people find a solution to mass incarsratin that don't get a first hand view of it and how are system is rigged,An issue besides race,,I don't believe it's about race it's about poverty. If ur rich u can buy ur why out of prison and ifbur poor u go to prison. The only people that the law applys for is the poor..and.thats.why it ain't.about race anymore but about ur economical status. Thats why i believe what,,,,,,,,,,,
7946,Need for change in system,,My views are strong towards criminal justice reform and democracy,Na,,N/a,,,,,,,,,,,
6726,Cares more,,"Before,i didn't care about politics,but i care now especially when it comes to the way our president tends to answer things on our behalf.",Does not affect opinion ,,I really dont think that it does.,,,,,,,,,,,
3939,Religion,,"I don't claim a political party but as of late i have noticed that there has been a want and or need to understand the poor,incarcerated,and others that have been held back.The problem over seas,removal of GOD from everything and how some politicians are really trying to.keep the moral in america intact while others just want to claim an office",,,"Seeing how some politicians are really trying to help the minority out of genuine concern and also recognizing that the others are only concerned out of political advancement.Politics play the ame role.in prison as well,be it staff or other prisoners.",,,,,,,,,,,
7048,Personal affiliation with a group,,Yes because im a gang member,Affects affiliation with a group ,,Im white and maxican but look white and im in a mexican gang. So i get a little bit of political heat from that,,,,,,,,,,,
1380,None,,No,Racial differences in prison ,,Because I'm black and in prison they took my rights,,,,,,,,,,,
7861,None,,[No],Impacts opinion of politicians,,[Somewhat] It seems African-Americans canditates (politician) are playing it safe while Caucasian tries to appeal to the African Camerican community for votes by saying a little but not applying a lot.,,,,,,,,,,,
7546,Personal Experience,,I always new and felt that no matter what I did I will be looked at like an outsider and a undesirable.,,,I am a Black man in a white/privilege's people's system.,,,,,,,,,,,
2042,Experience in prison,,Seeing everything thats happening,Does not understand question ,,I dont understand the questin,,,,,,,,,,,
3917,Views on politicians,,"It made me to see the vivid picture of how the laws are enforced. mostly, because only littleman get the measure of punishment, and also that the people making the laws are totally disconnected with reality of the impact of these laws. Most elected officials oblivious of what actually is happening, and they only want to please their party base.
",Race should not matter,,"I don't belief race or partisan politic should sway our natural inclination or intuition about the truth. Who is the right person for the greater good should but only if he or she does not mixed personal business with the nation's interest. The should always come first, you are elected to represent the people.",,,,,,,,,,,
6869,Political opinion,,I'm now antidisestablishmentarianism.,Describes personal race,,Because i'm part native american.,,,,,,,,,,,
342,Need for change in system,,Being in prison let's you see things in a different light. I can see injustice done throughout the justice system in Arkansas. Seems as the courts sentences are not time structured fairly. Examples being downloading and viewing child porn holds as much time as or more time as manslaughter or murder.,Racial differneces in prison ,,"Being in prison is just a place, my opinion would be the same in or outside",,,,,,,,,,,
3795,Time,Greater understanding,Because I feel that I have more empathy for people who are struggling and a greater understanding of what it feels like to have no say in the world around you. Also I have had alot of time to think on my own ideas of solutions to issues like prison reform.,,,Because at the end of the day I am American so I look at political issues in the country from that standpoint.,,,,,,,,,,,
1086,Education,,Since being incarcerated I have been able to keep up with the news and look at what I believe is the bigger picture and the possible outcomes of those we choose to represent us.,Race should not matter,,I believe to be able to fix the biggest problem in this country we have to rise above labels that box people in and start treating everyone simply as human.,,,,,,,,,,,
6440,More interested,,"Before I became incarcerated, I had no interest whatsoever in politics. I had been 18 for just over a month before I was arrested, and subsequently sentenced to 50 years in prison. Before that, I was a foster child focused merely on tryjng to suppress the dissimilarities between my peers and me, and getting to a point in my life where I was allowed to make significant decisions about my own life that were not micromanaged be DHHS personnel.",Experience because of race,,"Being an ethnic minority (Jamaican & white), and having experienced a great deal of racism in my life, I m acutely aware of the potential negative effects of public policies and laws, as well as the still-overwhelming majority of white faces in positions of power making decisions that affect vast numbers of people of whose needs they do not understand.",,,,,,,,,,,
2832,Does not care,,"Nobody seems to care, even where a person gives up everything to find a way to deal with the crimes that sent him to prison. ",Race does not affect opinion ,,I see all people the same what makes them different in my eyes is how people's past affect their preserve behaviors.,,,,,,,,,,,
3421,Importance of political voice,,Yes ...there is so many smart and intelligent prisoners that would like a chance to vote or even give an opinion to any political questions,Experience because of race,,"Im a latina, chicana ...and sounds stupid when giving a political opinion",,,,,,,,,,,
4099,Views on politicians,,"There is no polititian that doesn't have a self agenda, anything to make him or herself an kind of money for self and the super rich.",All races are the same,,"We are all Americans there is no racial devide except what the government has put in place. i.e. the racial questions on all government forms, """"what is you race?""""",,,,,,,,,,,
2257,Need for change in system,,How people decide how laws are applied but reall dont understand how much they put.people thru,Racial differnces in prison ,,Prison.politics are holding back productive people from achieving thier success in life,,,,,,,,,,,
6917,Need for change in system,Cares more,People in the US this is how this cuntry was made and people forget that all the time people in the US need to starte thinking on the good in people not the bad all people have good in them some more then athers.,,,I have right to just like everyone in the US doe.,,,,,,,,,,,
3143,N/A,,"Im not for sure what exactly, ",,,"Respect the peoples aroud, alive togheter, expres your feelings ",,,,,,,,,,,
5042,None,,Not,None,,Never,,,,,,,,,,,
7660,Edcuation,,"Yes, i think it would change anyone view ",Race should not matter,,Your raial identity shouldnt matter tho its the person in what you study on your views,,,,,,,,,,,
814,Education,,I learned more about my original political views in detail and realize I was wrong .,Race does not affect opinion ,,Race has nothing to do with what I see wrong in the country we live in today . Plus you see it too .,,,,,,,,,,,
421,Change in political ideology,,Redder,None,,No,,,,,,,,,,,
5783,Education,,As a young man coming into the system i had no concern about the politics that controlled the do's and don'ts of my life. Since coming to prison i started taking notice of the economical statistics and worldly views ofthe opinions of my fellow people,Race does not affect opinion ,,My racial ethics have norhing to do with my my terms in prison. My political views are based off the knowledge i come learn more about the govrnmental system and what and hoq it affects me and the people of my society,,,,,,,,,,,
4191,Expanded view,,I tend to be more open-minded and accepting of others point of view,Race should not matter,,Race shouldn't define your political beliefs,,,,,,,,,,,
2685,Pays more attention,Importance of political voice,"Yes because i pay more attention to politics, and i believe every vote should count if you are a citizen of the united states.",Does not understand question ,,I dont quite understand it.,,,,,,,,,,,
7030,Experience in prison,,"My views before this concrete kasket you call a cell, were misguided, adolescent, sophmoric at best, but being locked in this cell for 23-24 hours a day for about 12 years straight has opened my eyes, heart, and mind to many things, thus the formulation of my political beliefs as the are today.",Racial differences in prison ,,"Prison is by design, racially divisive; & unfortunately 98% of the prisoners are ignorant to the fact that this divisivness is by design not by caprice, so they perpetuate this negativity, and in doing so their political beliefs & creeds are influenced if not formed in the fog of this hate & negativity, which is what you people want & need, & get. Getting back to the """"?"""" Th, i absolutely do not, never have, and never will be influenced or dictated to by my race in any of my political views, i beliwve all humans are created equal, regardless of race,religion,or gender.",,,,,,,,,,,
5302,Need for change in system,,I think.politics dnt really help those who are incarcerated the only hurt...no resources or real reform or oppotunities to help people transtion back into society,Does not understand question ,,Not clear on the question,,,,,,,,,,,
1477,Personal Experience,,The world is evil,,,No need to it been pike this,,,,,,,,,,,
4189,View on politics,,Yes 00,All people are equal ,,"I truly believe no one is better than anyone else everyone is equall ,  if a person baisses their polliticall veiws on race it's wronge .",,,,,,,,,,,
3020,Need for change in system,,I see the politics involved and the multimillion dollars being made off people who chose the wrong path or dealt a bad hand,Does not see race,,I see no race just human,,,,,,,,,,,
4197,Education,,"I wish to be more in the know, regarding my state, and country.",Na,,Would require deeper contemplation.,,,,,,,,,,,
2914,Expanded view,,[Yes] See things in a new light that I never saw from where I was in society.,Does not see color ,,[Not at all] I don't look at it through colored lass I see it in Black & white whats for one is or should be for all,,,,,,,,,,,
1626,Believes political vote matters more,,Now that I can't vote I would love to but not for my interest,Na,,Race,,,,,,,,,,,
4289,Views on politicians,,We are just a number to all politicians and are used for political gain,,,We are all just prisoners,,,,,,,,,,,
1846,Personal Experience,,I pay taxes,Does not affect opinion ,,Not at all,,,,,,,,,,,
6702,Expanded views,,"Never really looked into. Being in prison has changed my views on life. Our living conditions are horrible n nasty. Our crime they just wanna send everyone to prison using court appointed lawyers. Gun residue, self-defense, better plea deals, clean the ciurt houses need to come back. U vote n no change for the low proverty people. I have a work n a decision that things need to change",Racial differences in prison ,,Unknown racial identity is not talk about in this prison,,,,,,,,,,,
